DiningID,Name,Tag,Note,Link
dinner_d1,浜の家,海鮮料理首選/親子,榻榻米、奶油烤魚(無刺)、好停車,https://www.google.com/maps/search/?api=1&query=浜の家海鮮料理+恩納dinner_d1琉球亭居酒屋就在飯店對面、步行可達https://www.google.com/maps/search/?api=1&query=琉球亭+恩納
dinner_d1,恩納蕎麥麵快速排骨麵、榻榻米座位https://www.google.com/maps/search/?api=1&query=恩納そば
dinner_d2,燒肉五苑名護店,燒肉,適合家庭、連鎖店、好停車,,https://www.google.com/maps/search/?api=1&query=焼肉五苑+名護店
dinner_d2,暖暮拉麵名護店,拉麵,九州第一名、通常需排隊,,https://www.google.com/maps/search/?api=1&query=暖暮拉麵+名護
dinner_d2,百年古家大家,阿古豬,氣氛好(古宅)、需預約,,https://www.google.com/maps/search/?api=1&query=百年古家+大家
lunch_d3,Taco Rice Cafe Kijimuna,塔可飯,歐姆蛋塔可飯(小孩愛)、美國村內,,https://www.google.com/maps/search/?api=1&query=Taco+Rice+Cafe+Kijimuna+Depot+Island
lunch_d3,豬肉蛋飯糰北谷店,輕食,沖繩名產、需排隊,,https://www.google.com/maps/search/?api=1&query=豬肉蛋飯糰+北谷
dinner_d3,YONAR`S GARDEN,親子首選,牛排飯(醬分開)、空間大,,https://www.google.com/maps/search/?api=1&query=YONAR`S+GARDEN+瀨長島
dinner_d3,親父のまぐろ鮪魚/烏龍麵老爸的鮪魚、有清淡烏龍麵https://www.google.com/maps/search/?api=1&query=親父のまぐろ+瀨長島
dinner_d3,POSILLIPO景觀最美義式料理、看夕陽、需預約https://www.google.com/maps/search/?api=1&query=POSILLIPO+Okinawa
dinner_d4,餃子屋弐ノ弐,親子首選,炒飯超好吃、煎餃、近飯店,,https://www.google.com/maps/search/?api=1&query=餃子屋+弐ノ弐+牧志
dinner_d4,Steakhouse 88,自助吧,白飯濃湯吃到飽、國際通店,,https://www.google.com/maps/search/?api=1&query=Steakhouse+88+Kokusaidinner_d4花笠食堂定食傳統沖繩味、炒飯、炸豬排https://www.google.com/maps/search/?api=1&query=花笠食堂+那霸
dinner_d4,Sam's Sailor Inn,表演,鐵板燒耍刀秀、有趣,,https://www.google.com/maps/search/?api=1&query=Sam's+Sailor+Inn
